Purchase,Bestellen
Purchase Order Payment Method,Purchase Order Payment Method
Separated with coma,Gescheiden door komma's
Carriers class,Carriers class
Reserved to developper,Gereserveerd voor ontwikkelaar
Order Management Delay (Days),Bestelling vertraging (dagen)
Add,Toevoegen
Products successfully Added,Product succesvol toegevoegd
Error adding Product,Fout tijdens toevoegen product
Apply Filter,Filter gebruiken
Refresh cache,Cashe herladen
Cache refreshed,Cache is herladen
supply_order,supply_order
supply_min_qty,supply_min_qty
Carrier code,Transporteur code
Tnt Account,TNT Account
Company Name,Bedrijfsnaam
Address 1,Adres 1
Address 2,Adres 2
Zip Code,Postcode
City,Stad
Country,Land
Customers successfully notified.,Klant is succesvol geinformeerd
Supplier Order Ref,Leverancier leveringnr.
Some products buy price are not set,Enkele producten hebben nog geen inkoopprijs
Supply Order,Leverancier bestelling
Shipping costs,Verzendkosten
Zoll costs,Tol kosten
Comments,Commentaar
Billing Method : ,Factuur gegevens : 
Carrier : ,Transporteur : 
Comments : ,Commentaar : 
WEEE,Ecotax
Unit Price,Product prijs
Qty,Aantal
Orders successfully added,Bestelling succesvol toegevoegd
No order to add,Geen bestelling om toe te voegen
Order successfully removed.,Bestelling succesvol verwijderd
Add Stock Movement,Voorraad verplaatsing toevoegen
Stock movement created,Voorraad verplaatsing toegevoegd
Stock movement deleted,Voorraad verplaatsing verwijderd
Export to Carrier Software,Exporteer naar 3th party software
Unable to add Tracking Number to Shipment #,Het was niet mogelijk om een Tracking nummer toe te voegen bij verzending #
Customers successfully notified.,Klant succesvol geinformeerd
Exclude from Supply Needs,Niet weergeven bij Leverancier benodigheden lijst
help_order_sent,help_order_sent
help_order_finished,help_order_finished
Product already exists in order,Product bestaat al in de bestelling
Purchase Order #,Bestelling nummer #
 from ,Van
Order #,Nummer #
Supplier Saved,Leverancier opgeslagen
Please select at least one product,Selecteer minimaal 1 product
